timestamp,total_clients,total_kbps,bitrate,psnr,ssim
2025-12-01T13:36:41.420Z,0,0.00,2000,34.93,0.900
2025-12-01T13:36:44.421Z,0,0.00,1500,30.72,0.943
2025-12-01T13:36:47.422Z,0,0.00,1000,30.00,0.886
2025-12-01T13:45:28.032Z,0,0.00,2000,34.81,0.884
2025-12-01T13:45:31.035Z,0,0.00,1500,32.59,0.870
2025-12-01T13:45:34.036Z,0,0.00,1000,30.13,0.939
2025-12-01T13:45:37.038Z,0,0.00,500,30.65,0.879
2025-12-01T13:45:40.041Z,0,0.00,500,33.31,0.917
2025-12-01T13:45:43.042Z,0,0.00,500,34.07,0.902
2025-12-01T13:45:46.045Z,0,0.00,500,33.87,0.913
2025-12-01T13:45:49.048Z,0,0.00,500,32.28,0.851
2025-12-01T13:45:52.051Z,0,0.00,500,34.49,0.865
2025-12-01T13:45:55.051Z,0,0.00,500,30.18,0.912
2025-12-01T13:45:58.054Z,0,0.00,500,31.28,0.898
2025-12-01T13:46:01.054Z,0,0.00,500,33.93,0.911
2025-12-01T13:46:04.057Z,0,0.00,500,33.60,0.894
2025-12-01T13:46:07.060Z,0,0.00,500,30.01,0.942
2025-12-01T13:46:10.063Z,0,0.00,500,33.88,0.867
2025-12-01T13:46:13.066Z,0,0.00,500,30.81,0.905
2025-12-01T13:46:16.070Z,0,0.00,500,32.51,0.886
2025-12-01T13:46:19.073Z,0,0.00,500,32.91,0.928
2025-12-01T13:46:22.075Z,0,0.00,500,32.22,0.947
2025-12-01T13:46:25.075Z,0,0.00,500,34.81,0.869
2025-12-01T13:46:28.076Z,0,0.00,500,31.13,0.894
2025-12-01T13:46:31.079Z,0,0.00,500,34.80,0.858
2025-12-01T13:46:34.082Z,0,0.00,500,33.90,0.859
2025-12-01T13:46:37.085Z,0,0.00,500,33.78,0.924
2025-12-01T13:46:40.089Z,0,0.00,500,33.52,0.940
2025-12-01T13:46:43.091Z,0,0.00,500,31.60,0.885
2025-12-01T13:46:46.095Z,0,0.00,500,32.54,0.895
2025-12-01T13:46:49.099Z,0,0.00,500,34.89,0.934
2025-12-01T13:46:52.103Z,0,0.00,500,33.74,0.885
2025-12-01T13:46:55.103Z,0,0.00,500,33.58,0.887
2025-12-01T13:46:58.106Z,0,0.00,500,31.76,0.890
2025-12-01T13:47:01.109Z,0,0.00,500,32.89,0.858
2025-12-01T13:47:04.113Z,0,0.00,500,31.03,0.857
2025-12-01T13:47:07.116Z,0,0.00,500,31.66,0.945
2025-12-01T13:47:10.119Z,0,0.00,500,33.43,0.922
2025-12-01T13:47:13.120Z,0,0.00,500,31.69,0.863
2025-12-01T13:47:16.122Z,0,0.00,500,31.75,0.856
2025-12-01T13:47:19.122Z,0,0.00,500,34.58,0.852
2025-12-01T13:47:22.122Z,0,0.00,500,31.95,0.934
2025-12-01T13:47:25.122Z,0,0.00,500,33.14,0.866
2025-12-01T13:47:28.125Z,0,0.00,500,32.17,0.874
2025-12-01T13:47:31.129Z,0,0.00,500,30.86,0.906
2025-12-01T13:47:34.133Z,0,0.00,500,32.16,0.931
2025-12-01T13:47:37.136Z,0,0.00,500,30.84,0.939
2025-12-01T13:47:40.139Z,0,0.00,500,30.01,0.916
2025-12-01T13:47:43.142Z,0,0.00,500,30.32,0.854
2025-12-01T13:47:46.145Z,0,0.00,500,34.68,0.859
2025-12-01T13:47:49.149Z,0,0.00,500,34.10,0.880
2025-12-01T13:47:52.151Z,0,0.00,500,32.52,0.919
2025-12-01T13:47:55.152Z,0,0.00,500,31.31,0.939
2025-12-01T13:47:58.154Z,0,0.00,500,33.63,0.946
2025-12-01T13:48:01.158Z,0,0.00,500,30.13,0.921
2025-12-01T13:48:04.162Z,0,0.00,500,33.81,0.888
2025-12-01T13:48:07.166Z,0,0.00,500,33.43,0.929
